,medium price scenario,,,,low price scenario,,,,high price scenario,,,
year,low_income,lower_middle_income,upper_middle_income,high_income,low_income,lower_middle_income,upper_middle_income,high_income,low_income,lower_middle_income,upper_middle_income,high_income
2020,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0
2022,10,25,50,150,5,12.5,25,75,20,50,100,300
2023,22.6923,37.5,62.1795,173.718,11.34615,18.75,31.0897,86.859,45.3846,75,124.359,347.436
2024,35.3846,50,74.359,197.436,17.6923,25,37.1795,98.7179,70.7692,100,148.718,394.872
2025,48.0769,62.5,86.5385,221.154,24.03845,31.25,43.2692,110.577,96.1538,125,173.077,442.308
2026,60.7692,75,98.7179,244.872,30.3846,37.5,49.359,122.436,121.5384,150,197.4358,489.744
2027,73.4615,87.5,110.897,268.59,36.73075,43.75,55.4487,134.295,146.923,175,221.794,537.18
2028,86.1538,100,123.077,292.308,43.0769,50,61.5385,146.154,172.3076,200,246.154,584.616
2029,98.8462,112.5,135.256,316.026,49.4231,56.25,67.6282,158.013,197.6924,225,270.512,632.052
2030,111.538,125,147.436,339.744,55.769,62.5,73.7179,169.872,223.076,250,294.872,679.488
2031,124.231,137.5,159.615,363.462,62.1155,68.75,79.8077,181.731,248.462,275,319.23,726.924
2032,136.923,150,171.795,387.179,68.4615,75,85.8974,193.59,273.846,300,343.59,774.358
2033,149.615,162.5,183.974,410.897,74.8075,81.25,91.9872,205.449,299.23,325,367.948,821.794
2034,162.308,175,196.154,434.615,81.154,87.5,98.0769,217.308,324.616,350,392.308,869.23
2035,175,187.5,208.333,458.333,87.5,93.75,104.167,229.167,350,375,416.666,916.666
2036,187.692,200,220.513,482.051,93.846,100,110.256,241.026,375.384,400,441.026,964.102
2037,200.385,212.5,232.692,505.769,100.1925,106.25,116.346,252.885,400.77,425,465.384,1011.538
2038,213.077,225,244.872,529.487,106.5385,112.5,122.436,264.744,426.154,450,489.744,1058.974
2039,225.769,237.5,257.051,553.205,112.8845,118.75,128.526,276.603,451.538,475,514.102,1106.41
2040,238.462,250,269.231,576.923,119.231,125,134.615,288.462,476.924,500,538.462,1153.846
2041,251.154,262.5,281.41,600.641,125.577,131.25,140.705,300.321,502.308,525,562.82,1201.282
2042,263.846,275,293.59,624.359,131.923,137.5,146.795,312.179,527.692,550,587.18,1248.718
2043,276.538,287.5,305.769,648.077,138.269,143.75,152.885,324.038,553.076,575,611.538,1296.154
2044,289.231,300,317.949,671.795,144.6155,150,158.974,335.897,578.462,600,635.898,1343.59
2045,301.923,312.5,330.128,695.513,150.9615,156.25,165.064,347.756,603.846,625,660.256,1391.026
