scenario code,1.5 °C,2 °C,BAU,LP,MP,HP,LP.R,MP.R,HP.R,LP.RR,MP.RR,HP.RR,LG1,LG2
year,1.5 degree consistent,2 degree consistent,Business as usual,Low price,Medium price,High price,Low price retrofit,Medium price retrofit,High price retrofit,Low price retrofit + redistribution,Medium price retrofit + redistribution,High price retrofit + redistr.,Low growth scenario medium price retrofi + redist.,Low growth scenario low price retrofit + redist.
2020,18.6666,18.6666,18.67,18.64195875,18.64195875,18.64195875,18.64195875,18.64195875,18.64195875,18.64195875,18.64195875,18.64195875,18.64195875,18.64195875
2021,17.6366,18.6171,18.62,18.59205918,18.59205918,18.59205918,18.59205918,18.59205918,18.59205918,18.59205918,18.59205918,18.59205918,18.59205918,18.59205918
2022,16.6066,18.2331,18.58,18.13543264,17.64722333,16.70158442,17.94160161,17.21414537,15.95345897,18.01191381,17.40815458,16.24933151,17.18391952,17.75786864
2023,15.5766,17.8491,18.55,18.03018673,17.47229478,16.42947881,17.72533945,16.86508471,15.38344964,17.80799854,17.06651676,15.70149369,16.62028924,17.32813652
2024,14.5466,17.4651,18.53,17.93892057,17.31811986,16.1859024,17.52877711,16.54482388,14.98159379,17.62368099,16.7543138,15.31973384,16.09841434,16.92275942
2025,13.5166,17.0811,18.52,17.86255567,17.19037069,15.98195703,17.33742196,16.23472266,14.65279757,17.44040168,16.45886639,15.01042485,15.59329897,16.52296411
2026,12.4866,16.6971,18.43,17.70789728,16.98668742,15.71997567,17.0878119,15.88322427,14.31077004,17.20027183,16.11754696,14.68999207,15.08852565,16.10819711
2027,11.4566,16.3131,18.35,17.56691565,16.80562952,15.48248969,16.86030946,15.60401815,14.03365291,16.97476078,15.84456633,14.42361397,14.64736163,15.71453553
2028,10.4266,15.9291,18.28,17.439336,16.64245992,15.27060336,16.64644245,15.37541712,13.78425009,16.76807157,15.62426141,14.18583244,14.27100042,15.33889788
2029,9.3966,15.5451,18.22,17.32630415,16.49122448,15.08091723,16.4470766,15.1658122,13.56199589,16.57430103,15.42937066,13.97903183,13.92234693,14.98200254
2030,8.3666,15.1611,18.17,17.22659561,16.35461401,14.90852082,16.25345293,14.96921718,13.36323525,16.3854644,15.24118545,13.78569429,13.58850201,14.63071459
2031,7.3366,14.7771,18.03,17.05092307,16.15096419,14.67870018,16.00219,14.73572914,13.12256109,16.13979005,15.00942253,13.55100789,13.23843345,14.25767891
2032,6.3066,14.3931,17.91,16.88635393,15.96534238,14.46303262,15.76616294,14.52423693,12.90317249,15.90887198,14.80107426,13.34029442,12.91463128,13.90130325
2033,5.2766,14.0091,17.8,16.73623636,15.79715975,14.26853024,15.57700052,14.33253064,12.69721355,15.7199793,14.61392872,13.14288735,12.6153733,13.58214562
2034,4.2466,13.6251,17.7,16.60184169,15.6383715,14.09397924,15.40807252,14.15809597,12.50930576,15.55479092,14.44434391,12.96137021,12.33524079,13.29169146
2035,3.2166,13.2411,17.61,16.47796831,15.49388512,13.93381775,15.24320841,13.98734815,12.34061402,15.3895655,14.27260909,12.79431974,12.05584609,13.00594877
