scenario code,1.5 °C,2 °C,BAU,LP,MP,HP,LP.R,MP.R,HP.R,LP.RR,MP.RR,HP.RR,LG1,LG2,Exp.
year,1.5 degree consistent,2 degree consistent,Business as usual,Low price,Medium price,High price,Low price retrofit,Medium price retrofit,High price retrofit,Low price retrofit + redistribution,Medium price retrofit + redistribution,High price retrofit + redistr.,Low growth scenario medium price retrofi + redist.,Low growth scenario low price retrofit + redist.,exponential price trajectory control (High price retrofit + redistr.)
2020,18.6666,18.6666,18.67,18.67,18.67,18.67,18.67,18.67,18.67,18.67,18.67,18.67,18.67,18.67,18.67
2021,17.6366,18.6171,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62,18.62
2022,16.6066,18.2331,18.58,18.13,17.68,16.66,17.92,17.26,15.86,18.01,17.39,16.22,17.15,17.78,16.21
2023,15.5766,17.8491,18.55,18.01,17.47,16.32,17.69,16.87,15.24,17.80,17.02,15.63,16.57,17.34,15.82
2024,14.5466,17.4651,18.53,17.90,17.28,16.03,17.48,16.51,14.81,17.59,16.69,15.21,16.02,16.91,15.56
2025,13.5166,17.0811,18.52,17.80,17.11,15.75,17.27,16.15,14.44,17.39,16.36,14.85,15.49,16.49,15.36
2026,12.4866,16.6971,18.43,17.63,16.87,15.44,17.00,15.77,14.06,17.14,15.99,14.49,14.96,16.06,15.13
2027,11.4566,16.3131,18.35,17.46,16.65,15.13,16.75,15.46,13.74,16.90,15.68,14.18,14.50,15.65,14.95
2028,10.4266,15.9291,18.28,17.31,16.45,14.86,16.52,15.20,13.44,16.67,15.44,13.91,14.10,15.26,14.79
2029,9.3966,15.5451,18.22,17.18,16.26,14.60,16.31,14.97,13.18,16.46,15.21,13.67,13.73,14.89,14.63
2030,8.3666,15.1611,18.17,17.05,16.09,14.38,16.10,14.74,12.94,16.26,14.99,13.44,13.37,14.52,14.48
2031,7.3366,14.7771,18.03,16.85,15.85,14.09,15.83,14.47,12.66,15.99,14.74,13.17,13.00,14.13,14.29
2032,6.3066,14.3931,17.91,16.67,15.62,13.82,15.58,14.23,12.40,15.75,14.50,12.92,12.66,13.76,14.12
2033,5.2766,14.0091,17.80,16.50,15.41,13.58,15.37,14.00,12.16,15.54,14.29,12.69,12.34,13.43,13.95
2034,4.2466,13.6251,17.70,16.33,15.21,13.35,15.19,13.79,11.95,15.36,14.09,12.48,12.04,13.12,13.80
2035,3.2166,13.2411,17.61,16.19,15.03,13.13,15.00,13.59,11.75,15.18,13.89,12.28,11.74,12.82,13.65
2036,2.1866,12.8571,17.48,16.01,14.82,12.90,14.80,13.37,11.53,14.98,13.68,12.08,11.45,12.53,13.50
2037,1.1566,12.4731,17.37,15.84,14.62,12.69,14.62,13.18,11.35,14.81,13.50,11.91,11.18,12.25,13.39
2038,0.1266,12.0891,17.26,15.69,14.44,12.49,14.45,13.00,11.18,14.64,13.32,11.75,10.92,11.98,13.28
2039,0,11.7051,17.17,15.55,14.27,12.31,14.29,12.83,11.03,14.49,13.16,11.60,10.68,11.73,13.18
2040,0,11.3211,17.09,15.42,14.12,12.14,14.14,12.66,10.87,14.33,13.00,11.46,10.44,11.48,13.07
2041,0,10.9371,16.98,15.26,13.94,11.95,13.97,12.49,10.71,14.17,12.84,11.30,10.20,11.23,12.95
2042,0,10.5531,16.88,15.11,13.77,11.77,13.81,12.32,10.57,14.02,12.67,11.16,9.97,10.99,12.85
2043,0,10.1691,16.78,14.98,13.62,11.61,13.67,12.17,10.43,13.87,12.53,11.03,9.75,10.76,12.75
2044,0,9.7851,16.70,14.85,13.47,11.45,13.53,12.02,10.30,13.74,12.38,10.90,9.54,10.55,12.66
2045,0,9.4011,16.63,14.74,13.34,11.30,13.40,11.89,10.17,13.61,12.25,10.78,9.34,10.33,12.57
2046,0,9.0171,16.53,14.60,13.18,11.15,13.25,11.75,10.04,13.47,12.12,10.65,9.14,10.12,12.47
