USA_cubed,SA_cubed,USA_CI99_low,USA_CI99_high,SA_CI99_low,SA_CI99_high
3.55941,1.18592,3.50443,3.61439,1.17226,1.19958
3.93734,1.39608,3.87534,3.99934,1.37937,1.41279
4.12198,1.50677,4.05642,4.18753,1.48832,1.52523
4.25667,1.58853,4.18847,4.32486,1.56873,1.60834
4.36591,1.65538,4.29555,4.43628,1.63444,1.67632
4.45942,1.71296,4.38718,4.53166,1.69102,1.73491
4.54212,1.76417,4.46821,4.61604,1.74131,1.78703
4.61691,1.81069,4.54147,4.69235,1.78699,1.8344
4.68562,1.85363,4.60877,4.76246,1.82914,1.87813
4.74952,1.89373,4.67135,4.82768,1.86848,1.91898
4.8095,1.93152,4.73009,4.8889,1.90555,1.95749
4.86624,1.9674,4.78565,4.94682,1.94075,1.99406
4.92024,2.00168,4.83852,5.00196,1.97436,2.02901
4.97191,2.0346,4.88911,5.05471,2.00663,2.06257
5.02157,2.06634,4.93772,5.10541,2.03774,2.09494
5.06947,2.09707,4.98461,5.15433,2.06785,2.12629
5.11583,2.12691,5.02999,5.20168,2.09709,2.15673
5.16084,2.15598,5.07404,5.24764,2.12557,2.18639
5.20465,2.18436,5.11691,5.29238,2.15337,2.21536
5.24738,2.21214,5.15873,5.33603,2.18058,2.24371
5.28915,2.23939,5.1996,5.3787,2.20726,2.27152
5.33006,2.26616,5.23963,5.4205,2.23347,2.29885
5.3702,2.29251,5.2789,5.4615,2.25927,2.32576
5.40964,2.31849,5.31749,5.50179,2.2847,2.35228
5.44845,2.34414,5.35546,5.54145,2.3098,2.37848
5.4867,2.36949,5.39287,5.58053,2.33461,2.40437
5.52443,2.39459,5.42978,5.61908,2.35917,2.43001
5.5617,2.41947,5.46624,5.65717,2.38351,2.45542
5.59856,2.44414,5.50228,5.69483,2.40765,2.48063
5.63504,2.46865,5.53797,5.73212,2.43163,2.50568
5.67119,2.49302,5.57332,5.76906,2.45547,2.53057
5.70704,2.51727,5.60838,5.80571,2.47919,2.55535
5.74263,2.54142,5.64318,5.84208,2.50281,2.58004
5.77799,2.5655,5.67776,5.87822,2.52636,2.60465
5.81314,2.58952,5.71213,5.91415,2.54985,2.6292
5.84812,2.61351,5.74633,5.94991,2.57331,2.65372
5.88295,2.63748,5.78038,5.98552,2.59675,2.67822
5.91766,2.66146,5.81432,6.021,2.62019,2.70273
5.95227,2.68545,5.84816,6.05639,2.64364,2.72726
5.98681,2.70948,5.88192,6.0917,2.66714,2.75182
6.0213,2.73356,5.91563,6.12696,2.69068,2.77645
6.05576,2.75772,5.94932,6.1622,2.71429,2.80114
6.09021,2.78196,5.983,6.19742,2.73799,2.82593
6.12468,2.80631,6.01669,6.23267,2.76179,2.85082
6.15918,2.83077,6.05041,6.26796,2.78571,2.87584
6.19374,2.85538,6.08419,6.3033,2.80976,2.901
6.22838,2.88014,6.11804,6.33873,2.83396,2.92632
6.26312,2.90508,6.15199,6.37425,2.85834,2.95182
6.29798,2.9302,6.18606,6.40991,2.88289,2.97751
6.33298,2.95554,6.22026,6.44571,2.90766,3.00342
6.36815,2.9811,6.25462,6.48167,2.93264,3.02956
