ALB,2866376
ARM,2951776
AZE,9939771
BGD,161356039
BLR,9483499
BEN,11485048
BOL,11353142
BRA,209469333
BFA,19751535
KHM,16249798
CMR,25216237
CHN,1392730000
COL,49661056
CIV,25069229
EGY,98423595
SLV,6420744
ETH,109224559
GHA,29767108
GTM,16346950
GIN,12414318
HND,9587522
IND,1352617328
IDN,267663435
JAM,2934855
JOR,9956011
KAZ,18276498.5
KEN,51393010
KGZ,6322800
LAO,7061507
MDG,26262368
MWI,18143315
MUS,1265303
MEX,126190788
MNG,3170208
MAR,36029138
MOZ,29495962
NAM,2448255
NPL,28087871
NIC,6465513
NGA,195874740
PAK,212215030
PRY,6956071
PER,31989256
PHL,106651922
RUS,144477860
RWA,12301939
SEN,15854360
ZAF,57779622
LKA,21670000
TZA,56318348
THA,69428524
TGO,7889094
UGA,42723139
UKR,44622518
VNM,95540395
ZMB,17351822
AUT,8840521
BEL,11427054
BGR,7025037
CYP,1189265
CZE,10629928
DEU,82905782
DNK,5793636
EST,1321977
ESP,46797754
FIN,5515525
FRA,66965912
GRC,10732882
HRV,4087843
HUN,9775564
IRL,4867316
ITA,60421760
LTU,2801543
LUX,607950
LVA,1927174
MLT,484630
NLD,17231624
NOR,5311916
POL,37974750
PRT,10283822
ROU,19472545
SWE,10175214
SVN,2073894
SVK,5446771
TUR,82319724
GBR,66460344
JPN,126529100
USA,326687501
