,,,,emissions,,,financial,,
,,GDPpc PPP,,uniform,luxury,difference in differences,uniform,luxury ,difference in differences
73,LUX,114323.4054,Europe,-0.004,-0.04446,0.04046,0.0149,-0.02241,0.03731
36,NAM,9637.180351,SSA + MENA,-0.04797,-0.11855,0.07057,0.03089,-0.0038,0.0347
63,EST,36956.28443,Europe,0.03786,-0.03062,0.06848,0.0215,-0.00948,0.03098
60,CZE,40836.32899,Europe,0.00077,-0.05203,0.0528,0.01743,-0.01219,0.02963
74,LVA,30982.17473,Europe,-0.01255,-0.06526,0.0527,0.00862,-0.01704,0.02566
72,LTU,37278.30334,Europe,0.00042,-0.03335,0.03377,0.01088,-0.0109,0.02178
83,SVK,31965.76217,Europe,-0.02161,-0.08291,0.0613,0.00109,-0.01965,0.02074
87,USA,62530.38959,North America,0.01176,-0.02506,0.03682,0.01788,-0.00127,0.01915
78,POL,33221.54154,Europe,-0.00051,-0.05841,0.0579,0.00105,-0.01808,0.01912
71,ITA,42419.72083,Europe,-0.02085,-0.10985,0.089,-0.00182,-0.01982,0.018
47,ZAF,12481.81287,SSA + MENA,-0.02418,-0.05564,0.03146,0.0149,-0.00286,0.01776
67,GRC,30465.44879,Europe,-0.03629,-0.1475,0.11121,0.0033,-0.01428,0.01758
33,MNG,12316.78755,Asia,0.02093,-0.01474,0.03567,0.01306,-0.00404,0.0171
69,HUN,32643.49054,Europe,-0.03938,-0.11984,0.08046,0.00052,-0.01648,0.017
82,SVN,39037.93196,Europe,-0.01159,-0.04767,0.03608,-0.00081,-0.01732,0.01651
85,GBR,46704.32149,Europe,0.00759,-0.02497,0.03255,0.00398,-0.01142,0.01539
57,BEL,51914.91461,Europe,-0.01494,-0.04792,0.03298,-0.00175,-0.01666,0.01491
68,HRV,28829.35553,Europe,-0.00753,-0.05111,0.04358,0.00205,-0.01225,0.0143
79,PRT,34961.94358,Europe,-0.00977,-0.03362,0.02385,0.00275,-0.01054,0.01329
62,DNK,57821.19778,Europe,-0.00089,-0.03302,0.03213,-0.00073,-0.01366,0.01293
61,DEU,53784.77958,Europe,0.0093,-0.01776,0.02705,0.00194,-0.01075,0.01269
2,AZE,14403.85047,Asia,-0.01241,-0.07522,0.06281,0.0058,-0.00643,0.01223
75,MLT,43707.54016,Europe,-0.01305,-0.05127,0.03822,-0.01232,-0.02425,0.01193
76,NLD,56849.37691,Europe,0.0008,-0.0226,0.0234,0.00169,-0.00906,0.01075
70,IRL,86696.23908,Europe,0.00033,-0.01795,0.01828,0.00437,-0.006,0.01037
65,FIN,48814.31015,Europe,-0.00383,-0.01822,0.0144,-0.00527,-0.01514,0.00987
59,CYP,39544.68185,Europe,0.00653,-0.00595,0.01248,0.00308,-0.0065,0.00957
23,JAM,9761.498522,Latin America,-0.01485,-0.03586,0.021,-0.00477,-0.01428,0.00951
28,LAO,7826.388595,Asia,-0.00509,-0.01657,0.01148,0.00375,-0.00559,0.00934
56,AUT,56029.61279,Europe,-0.00495,-0.02531,0.02035,-0.00216,-0.01123,0.00907
18,GTM,8637.464165,Latin America,-0.01168,-0.04183,0.03015,0.00005,-0.00854,0.00859
58,BGR,23265.62327,Europe,-0.00593,-0.0346,0.02867,0.00126,-0.00725,0.00852
86,JPN,41667.1791,Asia,-0.00404,-0.02601,0.02197,0.00614,-0.00177,0.00791
32,MEX,19765.91608,Latin America,-0.02763,-0.07051,0.04288,-0.00031,-0.00821,0.00789
7,BRA,14651.61618,Latin America,-0.01039,-0.03021,0.01981,0.00603,-0.00171,0.00774
64,ESP,40985.55851,Europe,-0.00483,-0.02981,0.02499,0.00144,-0.00628,0.00772
54,VNM,8041.178551,Asia,-0.00577,-0.01903,0.01326,-0.00251,-0.00909,0.00658
20,HND,5727.973572,Latin America,-0.00283,-0.01087,0.00803,-0.00406,-0.01062,0.00656
41,PRY,12685.1134,Latin America,-0.01596,-0.03303,0.01707,-0.00299,-0.0095,0.00651
15,SLV,8775.98652,Latin America,-0.00297,-0.013,0.01003,0.0047,-0.00138,0.00608
0,ALB,13724.05879,Europe,-0.03658,-0.0856,0.04902,-0.00559,-0.01165,0.00606
44,RUS,27043.93539,Asia,-0.00047,-0.00528,0.00481,-0.00636,-0.01218,0.00582
80,ROU,29983.55753,Europe,-0.0101,-0.03692,0.02682,-0.00049,-0.00608,0.00559
77,NOR,64962.26227,Europe,-0.00686,-0.01294,0.00608,0.00594,0.00042,0.00552
84,TUR,28289.0888,Europe,0.00041,-0.01112,0.01153,0.00142,-0.00408,0.0055
4,BLR,19149.63785,Asia,0.001,-0.01381,0.0148,0.00398,-0.00148,0.00547
31,MUS,22870.28625,SSA + MENA,-0.00004,-0.02258,0.02255,-0.00789,-0.01322,0.00533
66,FRA,46110.18471,Europe,0.00465,-0.00417,0.00881,0.00064,-0.00453,0.00517
48,LKA,13078.09812,Asia,-0.01032,-0.03115,0.02083,-0.00334,-0.00846,0.00512
14,EGY,11763.25364,SSA + MENA,-0.02298,-0.06752,0.04454,-0.00413,-0.00912,0.005
38,NIC,5407.1207,Latin America,-0.00577,-0.0196,0.01383,-0.00172,-0.00646,0.00474
12,COL,14624.9713,Latin America,-0.01842,-0.03765,0.01922,-0.00034,-0.00497,0.00463
46,SEN,3394.868808,SSA + MENA,-0.03348,-0.06979,0.03631,-0.00378,-0.00811,0.00433
34,MAR,7514.720881,SSA + MENA,-0.01362,-0.03902,0.0254,0.00086,-0.00335,0.0042
53,UKR,12810.28945,Europe,0.00615,-0.01564,0.0218,0.00144,-0.00272,0.00416
55,ZMB,3470.448801,SSA + MENA,-0.00269,-0.01124,0.00855,0.0017,-0.00203,0.00373
35,MOZ,1281.391836,SSA + MENA,-0.00489,-0.01021,0.00532,0.00039,-0.00331,0.0037
26,KEN,4329.87139,SSA + MENA,-0.00339,-0.01071,0.00732,0.00081,-0.00286,0.00368
81,SWE,52608.70954,Europe,-0.00384,-0.0086,0.00476,-0.00466,-0.00833,0.00367
1,ARM,13653.74953,Europe,-0.0001,-0.00981,0.00972,-0.00371,-0.00734,0.00364
